gene_id	SRX026871	SRX1149649	SRX1900396	SRX2255510	SRX3110803
ENSMUSG00000003680	1	1	1	1	1
ENSMUSG00000003721	1	1	1	1	1
ENSMUSG00000003731	1	1	1	1	1
ENSMUSG00000003746	1	1	1	1	1
ENSMUSG00000003752	1	1	1	1	1
ENSMUSG00000003762	1	1	1	1	1
ENSMUSG00000003778	1	1	1	1	1
ENSMUSG00000003779	1	1	1	1	1
ENSMUSG00000003808	1	1	1	1	1
ENSMUSG00000003809	1	1	1	1	1
ENSMUSG00000003810	1	1	1	1	1
ENSMUSG00000003812	1	1	1	1	1
ENSMUSG00000003813	1	1	1	1	1
ENSMUSG00000003814	1	1	1	1	1
ENSMUSG00000003824	1	1	1	1	1
ENSMUSG00000003847	1	1	1	1	1
ENSMUSG00000003848	1	1	1	1	1
ENSMUSG00000003849	1	1	1	1	1
ENSMUSG00000003863	0	1	0	1	0
ENSMUSG00000003865	1	1	1	1	1
ENSMUSG00000003868	1	1	1	1	1
ENSMUSG00000003872	0	1	0	1	0
ENSMUSG00000003873	1	1	1	1	1
ENSMUSG00000003882	0	1	0	0	0
ENSMUSG00000003923	1	1	1	1	1
ENSMUSG00000003929	1	1	1	1	1
ENSMUSG00000003934	0	1	0	1	0
ENSMUSG00000003948	1	1	0	0	0
ENSMUSG00000003949	1	1	1	1	1
ENSMUSG00000003955	1	1	1	1	1
ENSMUSG00000003970	1	1	1	1	1
ENSMUSG00000003974	0	1	0	0	0
ENSMUSG00000003992	1	1	0	1	1
ENSMUSG00000004018	1	1	1	1	1
ENSMUSG00000004031	0	1	0	0	0
ENSMUSG00000004032	1	1	1	1	1
ENSMUSG00000004035	0	1	1	1	1
ENSMUSG00000004038	0	0	1	1	1
ENSMUSG00000004040	1	1	1	1	1
ENSMUSG00000004043	1	1	1	1	1
ENSMUSG00000004044	1	1	1	1	1
ENSMUSG00000004054	1	1	1	1	1
ENSMUSG00000004056	1	1	1	1	1
ENSMUSG00000004069	1	1	1	1	1
ENSMUSG00000004070	1	1	1	1	1
