gene	SRX118286_cnt	SRX118292_cnt	SRX118290_cnt	SRX118296_cnt
ENSG00000170485.16	132	30	0	31
ENSG00000121022.13	227	934	139	846
ENSG00000169604.19	104	389	0	0
ENSG00000145907.14	976	4598	1010	0
ENSG00000143924.18	153	575	184	547
ENSG00000178028.13	42	128	57	142
ENSG00000120942.13	64	197	6	0
ENSG00000147669.10	522	1384	568	1281
ENSG00000155974.11	11	37	8	0
ENSG00000129636.12	60	363	120	208
ENSG00000072042.12	679	2678	726	2345
ENSG00000006468.13	71	293	125	0
ENSG00000177854.7	0	32	22	65
ENSG00000167797.7	44	190	120	243
ENSG00000152795.17	785	3015	0	1602
ENSG00000170604.4	39	133	0	0
ENSG00000214265.11	56	203	95	0
ENSG00000205707.10	14	0	16	0
ENSG00000106868.16	16	12	15	28
ENSG00000142599.17	85	152	121	370
ENSG00000088205.12	254	714	0	0
ENSG00000258890.6	40	147	14	88
ENSG00000100221.10	17	37	34	151
ENSG00000075415.12	1041	5788	751	0
ENSG00000198825.12	45	308	20	386
ENSG00000148090.11	14	49	0	108
ENSG00000213516.9	0	0	20	0
ENSG00000132423.11	31	48	30	52
ENSG00000121774.17	724	1885	624	1237
ENSG00000134686.17	236	550	307	0
ENSG00000152782.16	7	47	8	6
ENSG00000160917.14	37	118	0	184
ENSG00000124813.20	28	0	0	25
ENSG00000106591.3	150	495	72	161
ENSG00000241852.9	7	0	0	0
ENSG00000103047.7	0	369	102	0
ENSG00000107669.17	41	272	30	0
ENSG00000105220.14	632	2187	540	1389
ENSG00000172354.9	413	1495	574	646
ENSG00000189171.14	423	1029	472	0
ENSG00000132341.11	1821	5470	1903	4953
ENSG00000090530.9	11	27	0	0
ENSG00000112033.13	29	0	46	0
ENSG00000181264.8	8	38	0	16
ENSG00000135678.11	12	68	0	0
ENSG00000125775.14	0	0	5	0
ENSG00000101004.14	0	0	0	28
ENSG00000147003.5	0	225	0	0
ENSG00000139278.9	69	43	62	129
ENSG00000148362.10	45	0	0	0
ENSG00000120963.11	55	465	42	645
ENSG00000131652.13	52	0	0	175
ENSG00000135521.8	162	510	161	0
ENSG00000278845.4	0	28	0	0
ENSG00000118596.11	15	87	12	88
ENSG00000130311.10	117	381	0	345
ENSG00000135605.12	5	17	16	86
ENSG00000100888.12	272	1221	367	1192
ENSG00000117280.12	18	0	23	0
ENSG00000169684.13	38	116	47	138
ENSG00000070413.19	34	117	31	0
ENSG00000166478.9	55	233	50	118
ENSG00000165046.12	0	31	0	32
ENSG00000151422.12	67	343	107	356
ENSG00000116213.15	54	278	0	0
ENSG00000119392.14	64	283	0	0
ENSG00000126777.17	2508	5287	3680	2973
ENSG00000111737.11	175	565	192	667
ENSG00000143537.13	276	900	0	0
ENSG00000100441.9	21	53	10	31
ENSG00000001036.13	142	435	0	49
ENSG00000104695.12	77	250	0	98
ENSG00000188811.13	18	0	9	65
ENSG00000146233.7	0	34	0	0
ENSG00000173928.2	5	27	12	0
ENSG00000175283.7	48	0	64	0
ENSG00000135049.15	22	0	26	80
ENSG00000100083.18	27	79	29	65
ENSG00000075407.18	26	78	0	0
ENSG00000196705.8	16	26	0	0
ENSG00000128159.11	16	58	0	0
ENSG00000173918.14	16	98	38	0
ENSG00000143320.8	461	1437	605	0
ENSG00000165516.10	211	718	509	0
ENSG00000164329.13	29	0	56	0
ENSG00000165118.14	34	129	35	147
ENSG00000147044.20	128	412	95	333
ENSG00000115998.7	9	68	21	0
ENSG00000135119.14	25	155	38	0
ENSG00000047315.14	999	3986	201	372
ENSG00000166681.13	284	882	430	1136
ENSG00000023228.13	374	2133	514	2926
ENSG00000112893.9	221	1019	0	0
ENSG00000169018.5	53	180	72	0
ENSG00000169126.15	10	0	17	0
ENSG00000100625.8	210	664	313	0
ENSG00000196632.10	0	17	0	32
ENSG00000144736.13	73	323	6	39
ENSG00000133265.10	113	472	199	0
ENSG00000075336.11	102	574	95	305
ENSG00000203950.6	42	109	77	69
ENSG00000158882.13	17	68	0	0
ENSG00000172661.17	8	52	0	51
ENSG00000119669.4	159	481	273	0
ENSG00000150760.12	105	0	0	0
ENSG00000069248.11	299	1104	0	1082
ENSG00000198961.9	238	825	418	1660
ENSG00000116285.12	396	84	0	0
ENSG00000204859.12	40	125	9	53
ENSG00000082438.15	23	17	7	88
ENSG00000145439.11	51	214	96	415
ENSG00000115241.10	427	1540	402	0
ENSG00000185122.10	90	363	123	172
ENSG00000167333.12	25	29	39	177
ENSG00000160563.13	9	57	14	0
ENSG00000150712.10	45	206	0	292
ENSG00000185163.9	24	134	0	0
ENSG00000109113.18	98	334	0	117
ENSG00000114999.7	27	234	68	0
ENSG00000146247.13	269	828	0	0
ENSG00000166333.13	302	1238	400	1330
ENSG00000125835.18	526	2494	1255	3126
ENSG00000259030.6	11	20	18	0
ENSG00000165609.12	201	662	208	597
ENSG00000205084.10	0	0	9	22
ENSG00000101407.12	133	416	0	0
ENSG00000126934.13	72	292	0	249
ENSG00000122565.18	377	996	475	1277
ENSG00000256223.5	0	0	0	15
ENSG00000119986.6	7	0	0	36
ENSG00000130731.15	67	224	136	287
ENSG00000143575.14	92	352	0	0
ENSG00000124787.13	59	301	84	104
ENSG00000135916.15	182	837	262	0
ENSG00000154845.15	262	1641	100	399
ENSG00000063244.12	532	1677	814	1961
ENSG00000136122.15	25	94	0	190
ENSG00000168476.11	101	314	119	0
ENSG00000133056.13	26	86	0	0
ENSG00000176024.17	9	73	29	56
ENSG00000107771.15	28	42	0	0
ENSG00000133874.1	8	15	12	0
ENSG00000127720.7	7	0	0	0
ENSG00000077782.19	68	189	15	344
ENSG00000148019.12	52	223	0	0
ENSG00000144283.21	24	139	0	37
ENSG00000164841.4	0	17	0	0
