gene	SRX118285_cnt	SRX118291_cnt	SRX118289_cnt	SRX118295_cnt
ENSG00000158008.9	0	0	1	1
ENSG00000126368.5	136	78	196	153
ENSG00000132746.14	0	0	2	0
ENSG00000204710.2	0	0	0	1
ENSG00000275066.4	33	25	23	28
ENSG00000124237.5	0	0	0	0
ENSG00000008394.12	1438	1552	1179	1263
ENSG00000179698.13	1	2	2	4
ENSG00000152086.8	1	0	0	1
ENSG00000281282.1	0	0	0	0
ENSG00000204531.16	0	0	0	0
ENSG00000197415.11	136	109	146	92
ENSG00000109943.8	0	0	1	0
ENSG00000204612.1	0	0	0	0
ENSG00000139218.17	814	1003	748	750
ENSG00000257115.1	0	0	0	0
ENSG00000126550.8	0	0	0	0
ENSG00000205442.12	0	0	0	0
ENSG00000172081.13	82	65	79	76
ENSG00000187003.6	0	0	0	0
ENSG00000204960.6	0	0	0	0
ENSG00000281472.1	0	0	0	0
ENSG00000135336.14	427	413	411	370
ENSG00000273155.1	152	206	121	160
ENSG00000126460.10	2	1	2	5
ENSG00000198786.2	12356	16747	15489	15917
ENSG00000121853.3	0	0	0	0
ENSG00000117616.17	195	175	210	240
ENSG00000211680.2	0	0	0	0
ENSG00000021826.14	110	204	188	215
ENSG00000178473.6	0	0	0	0
ENSG00000187944.2	0	0	1	2
ENSG00000131386.17	0	0	0	0
ENSG00000133561.15	0	0	0	0
ENSG00000083457.11	243	281	174	194
ENSG00000118276.11	80	57	62	43
ENSG00000138347.15	53	19	61	14
ENSG00000244624.3	0	0	0	0
ENSG00000196781.14	194	141	204	155
ENSG00000110075.14	668	747	627	660
ENSG00000113492.13	0	0	0	0
ENSG00000106328.9	1	0	0	0
ENSG00000105427.9	26	26	33	30
ENSG00000168878.16	0	0	0	0
ENSG00000156738.17	0	0	0	0
ENSG00000211951.2	0	0	0	0
ENSG00000145362.17	3	6	5	5
ENSG00000112936.18	5	2	4	4
ENSG00000161800.12	780	1212	778	1218
ENSG00000136450.12	1265	1104	829	683
ENSG00000066136.20	331	257	302	294
ENSG00000211793.2	0	0	0	0
ENSG00000066739.11	232	254	269	229
ENSG00000103257.8	450	433	409	347
ENSG00000079432.7	299	196	231	292
