gene	SRX118286_cnt	SRX118292_cnt	SRX118288_cnt	SRX118294_cnt
ENSG00000092098.16	56	120	57	75
ENSG00000198585.11	19	31	25	20
ENSG00000254732.1	2	5	5	16
ENSG00000024422.11	5	12	6	1
ENSG00000196924.14	3443	9444	4267	6360
ENSG00000157895.11	40	198	47	132
ENSG00000107105.14	46	149	41	70
ENSG00000130175.9	1376	4802	1619	3906
ENSG00000138767.12	16	89	15	48
ENSG00000185745.9	353	226	370	128
ENSG00000129675.15	24	115	36	38
ENSG00000187678.8	133	834	207	734
ENSG00000040531.14	25	128	34	118
ENSG00000128245.14	384	1282	455	1130
ENSG00000035499.12	23	383	68	271
ENSG00000169885.9	0	0	0	0
ENSG00000013725.14	0	0	0	0
ENSG00000105738.10	70	250	74	166
ENSG00000265817.1	5	11	8	0
ENSG00000113805.8	0	0	0	0
ENSG00000258289.8	590	1980	788	1393
ENSG00000158517.13	0	0	0	0
ENSG00000006016.10	0	1	2	4
ENSG00000138780.14	52	262	69	85
ENSG00000204655.11	0	0	0	0
ENSG00000155959.10	365	1229	435	666
ENSG00000198157.10	116	223	113	110
ENSG00000204928.1	0	0	0	0
ENSG00000163645.14	0	0	0	0
ENSG00000205678.7	0	0	0	0
ENSG00000163281.11	52	273	84	76
ENSG00000197769.5	0	0	0	0
ENSG00000235376.5	0	5	0	0
ENSG00000063169.10	10	35	15	14
ENSG00000196504.15	590	2077	514	986
ENSG00000189306.10	45	246	73	205
ENSG00000149503.12	177	920	196	670
ENSG00000110711.9	180	722	236	520
ENSG00000050820.16	75	247	87	206
ENSG00000147614.3	1	0	0	0
ENSG00000136352.17	0	0	0	0
ENSG00000196368.4	3	33	9	11
ENSG00000124302.12	0	0	0	0
ENSG00000197641.11	0	0	0	0
ENSG00000110955.8	1987	12393	2603	8816
ENSG00000204889.10	0	0	0	0
ENSG00000104499.6	0	0	0	0
ENSG00000203950.6	48	116	86	189
ENSG00000100522.8	410	1149	480	607
ENSG00000172006.11	6	25	9	24
ENSG00000258588.3	31	72	21	42
ENSG00000134940.13	0	0	0	0
ENSG00000163235.15	20	25	21	6
ENSG00000177462.6	0	0	0	0
ENSG00000198887.8	72	242	79	113
ENSG00000204178.9	101	262	117	193
ENSG00000256394.2	0	0	0	0
ENSG00000213424.8	0	0	0	0
ENSG00000243232.4	34	149	34	110
ENSG00000205177.6	1	2	0	0
ENSG00000129103.17	97	272	135	324
ENSG00000213030.5	0	0	0	0
ENSG00000106333.12	1	29	10	38
ENSG00000102189.16	169	861	149	533
ENSG00000265354.3	85	343	92	215
ENSG00000177143.4	0	0	0	0
ENSG00000159527.3	0	0	0	0
ENSG00000155918.7	0	0	0	0
ENSG00000116580.18	67	329	74	155
ENSG00000171863.12	46	203	40	90
ENSG00000121380.12	0	0	0	0
ENSG00000134910.12	929	4114	1150	2500
ENSG00000280127.1	0	0	0	0
ENSG00000140471.16	24	110	23	33
ENSG00000104290.10	16	91	17	48
ENSG00000115998.7	10	70	14	50
ENSG00000085662.13	1	3	1	0
ENSG00000123560.13	0	0	0	0
ENSG00000175928.5	0	0	0	0
ENSG00000133026.12	203	532	196	225
ENSG00000186090.10	0	0	0	0
ENSG00000196220.15	7	25	3	13
ENSG00000279261.1	0	0	0	0
